 ,Area,Mean,Min,Max
266,2.315,255,255,255
267,2.105,255,255,255
268,2.250,255,255,255
269,2.470,255,255,255
270,2.370,255,255,255
271,1.415,255,255,255
272,2.763,255,255,255
273,2.385,255,255,255
274,1.619,255,255,255
275,1.928,255,255,255
276,2.260,255,255,255
277,1.589,255,255,255
278,2.344,255,255,255
279,2.491,255,255,255
280,1.861,255,255,255
281,1.309,255,255,255
282,3.407,255,255,255
283,2.010,255,255,255
284,1.769,255,255,255
285,1.579,255,255,255
286,1.813,255,255,255
287,1.328,255,255,255
288,2.627,255,255,255
289,0.772,255,255,255
290,2.891,255,255,255
291,1.048,255,255,255
292,2.264,255,255,255
293,1.461,255,255,255
294,1.575,255,255,255
295,1.569,255,255,255
296,1.973,255,255,255
297,1.575,255,255,255
298,2.395,255,255,255
299,1.534,255,255,255
300,1.305,255,255,255
301,2.023,255,255,255
302,1.556,255,255,255
303,2.745,255,255,255
304,1.694,255,255,255
305,2.087,255,255,255
306,1.146,255,255,255
307,1.336,255,255,255
308,1.471,255,255,255
309,1.737,255,255,255
310,2.030,255,255,255
311,0.526,255,255,255
312,1.038,255,255,255
313,0.699,255,255,255
314,1.435,255,255,255
315,1.363,255,255,255
316,2.412,255,255,255
317,0.954,255,255,255
318,1.357,255,255,255
319,2.214,255,255,255
320,1.323,255,255,255
321,1.113,255,255,255
322,1.891,255,255,255
323,1.903,255,255,255
324,2.657,255,255,255
325,0.989,255,255,255
326,2.668,255,255,255
327,1.540,255,255,255
328,1.925,255,255,255
329,2.672,255,255,255
330,1.540,255,255,255
331,1.625,255,255,255
332,2.974,255,255,255
333,1.118,255,255,255
334,1.772,255,255,255
335,1.676,255,255,255
336,1.503,255,255,255
337,1.470,255,255,255
338,0.658,255,255,255
339,1.912,255,255,255
340,2.814,255,255,255
341,1.654,255,255,255
342,1.696,255,255,255
343,2.640,255,255,255
344,1.297,255,255,255
345,1.833,255,255,255
346,2.067,255,255,255
347,2.779,255,255,255
348,1.970,255,255,255
349,1.896,255,255,255
350,3.350,255,255,255
351,1.480,255,255,255
352,1.716,255,255,255
353,1.208,255,255,255
354,1.159,255,255,255
355,1.691,255,255,255
